Company Name,Sector,About,URL,Logo URL
ARBEN Pte Ltd,TRADING,"Arben is a Singapore-based company specializing in sustainable wooden products from certified forests. We engage in wood products and commodities trading, offering wholesale distribution of logs, sawn timber, plywood, and related items. Our commitment to sustainability drives our sourcing practices, ensuring that all our wood products are derived from sustainable forests. This choice aligns with our mission to support environmental preservation while meeting customer demands. Singapore serves as our strategic base due to its proximity to our primary suppliers in Indonesia and Thailand, coupled with its thriving economy and robust start-up support, making it an ideal hub for our operations.",https://italchamber.org.sg/membership-directory/corporate/1680853#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/76c13d72-d926-4679-ad22-d2b903bfa3fc.png
Armonia pte ltd,INFORMATION TECHNOLOGY,"Armonia Pte. Ltd. is a Singapore based digital growth and market entry partner helping European brands expand in Asia and Asian companies grow in Europe.From Singapore, we execute digital performance strategies, manage multi market websites and localization, and implement customer journeys that transform demand into measurable results.We combine a deep understanding of European brand positioning with regional market behavior, ensuring growth without compromising brand identity",https://italchamber.org.sg/membership-directory/corporate/2470900#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/750e5e22-9b8c-4928-a23f-8a6c1da8ac63.png
AROCA Group Pte Ltd (Ag),BUSINESS SERVICES,"Aroca Group is a boutique public affairs firm established in 2019 through the merger of two consulting firms based in Australia and Malaysia. We specialise in government relations, building and delivering media and communications strategy and providing training to clients and their teams across many industry sectors.With our headquarters located in Singapore, we have teams working across Asia Pacific with coverage in Europe and worldwide. Our teams are in Malaysia, Indonesia, Vietnam, Hong Kong, Australia, New Zealand, Italy, the United States, the United Kingdom and South Africa. We have strategic partnerships in Brussels (EU), Taiwan and India.Our Aroca Group team has extensive experience in the corporate sector as well as the highest levels of governments, delivering outcomes for clients across a wide range of industries including health care, biotechnology, education, FMCG, transport, agriculture and the technology sector.",https://italchamber.org.sg/membership-directory/corporate/1438413#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/32e53c8d-ea04-4693-8afa-dfe8ab3c116e.png
Asian Tax Advisory Singapore Pte Ltd.,LEGAL AND ACCOUNTING FIRMS,"Asian tax Advisory - ATA was founded in 2014 in Hong Kong, and in a few years established offices also in Singapore and Shanghai, as a one-stop advisory boutique for corporations and private investors which recognize Asia as a primary venue to expand their business on a global scale.The firm is composed by a team of professionals that brings together an extensive experience in assisting reputable European and Italian corporations in establishing and expanding their operations in Asia, providing a wide range of tax and corporate advisory services, including incorporation of business entities, tax and accounting, corporate finance, HR management, payroll and administrative services, and cross border investments.ATA is the ideal choice to drive your business in Asia and achieve your objectives.Offices: Singapore, Hong Kong, ShanghaiServices:•	Incorporation of Business Entities•	Tax Advisory and International Tax Planning•	Singapore Tax Compliance•	Accounting and Financial Reporting•	Corporate finance advisory•	Due Diligence and Valuation of business entities•	Treasury management, Payroll, VISA and Administrative services",https://italchamber.org.sg/membership-directory/corporate/543209#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/ddfa278f-d2ca-4fd9-9ead-1e8af20a3bd5.png
Atipico Pte Ltd,FOOD AND BEVERAGE,"ÁTIPICOadjective | /a’ʧipikʊdifferent from all others of the same typesynonyms: unusual, non-typical, uncommon, unconventional, divergentFounded in 2014 as a personal chef company by Matteo Pertoldi, ÁTIPICO gained visibility in Singapore through inspiring collaborations with countless affectionate clients, embassies, and luxury brands. ÁTIPICO events are fully tailored to you and your guests, and we will work with you to design a unique experience. Our dedicated team thrives on passion and love for excellence, with the aim to provide clients with an experience to remember.The company has since expanded its activity to a modern click-and-go retail, ÁTIPICO Atelier. Here we propose a curated, poliedric selection of items exclusively produced in-house; creations that are 100% artisanal, addictive and beautiful. The team expertise stretches from fine patisserie to artisan bread – the panettone being the epitome of ÁTIPICO’s meticulous craftsmanship.In 2024, we are thrilled to finally embark our guests on a thought-out journey in our first midtown outpost ÁTIPICO Room #15. Room #15 is a cosy yet refined place where creative culinary craftsmanship and art of true hospitality come together. The menu evolves along the day giving voice to our diverse crafts, and so does the space. An ever changing and unique environment, nurtured with the beauty of design and with an insatiable curiosity which makes us embrace things with our atypical point of view.",https://italchamber.org.sg/membership-directory/corporate/232406#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/bb1657b2-a9e5-4761-ae2e-9dec0f64f011.png
ATR Eastern Support Pte Ltd,MECHANICAL AND INDUSTRIAL/ENGINEERING,"ATR is the world number one regional aircraft manufacturer with its ATR 42 and 72 aircraft the best-selling aircraft in the less than 90-seat market segment. In 2019 the company had a turnover of US$1.6 billion. The unifying vision of the company’s 1,400 employees is to help everyone, no matter where they are in the world, to connect and develop in a responsible manner. Thanks to the efficiency of turboprop technology and the benefits of the company’s focus on continuous innovation, ATR aircraft open more than 100 new routes every year, burn up to 40% less fuel and emit up to 40% less CO2 than regional jets. For all of these reasons, ATR aircraft have been chosen by some 200 companies in 100 countries around the world. ATR is a joint-venture between Airbus and Leonardo.",https://italchamber.org.sg/membership-directory/corporate/900107#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/ba243f66-4a43-4097-8a8c-ca11f6ed16d9.png
Bank Julius Baer & Co. Ltd,FINANCE,"Julius Baer is the leading independent Swiss wealth management group and a premium brand in this global sector, with a focus on servicing and advising sophisticated private clients. In all we do, we are inspired by our purpose: creating value beyond wealth. At the end of 2025, assets under management amounted to CHF 521 billion. Bank Julius Baer & Co. Ltd., the renowned Swiss private bank with origins dating back to 1890, is the principal operating company of Julius Baer Group Ltd., whose shares are listed on the SIX Swiss Exchange (ticker symbol: BAER) and are included in the Swiss Leader Index (SLI), comprising the 30 largest and most liquid Swiss stocks.Julius Baer is present in around 25 countries and 60 locations. Headquartered in Zurich, we have offices in key locations including Abu Dhabi, Bangkok, Dubai, Dublin, Frankfurt, Geneva, Hong Kong, Lisbon, London, Luxembourg, Madrid, Mexico City, Milan, Monaco, Mumbai, Santiago de Chile, Shanghai, Singapore, Tel Aviv, and Tokyo. Our client-centric approach, our objective advice based on the Julius Baer open product platform, our solid financial base, and our entrepreneurial management culture make us the international reference in wealth management.For more information visit our website at www.juliusbaer.com",https://italchamber.org.sg/membership-directory/corporate/222303#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/d29ff5c0-e63b-459d-aac8-d4229000bab0.png
Barilla Singapore Pte Ltd,FOOD AND BEVERAGE,"Barilla is one of today’s main Italian food and founded in Parma, Italy, in 1877. One of the world leader in the pasta market, Continental European leader in pasta sauces as well. Barilla owns 29 production sites (15 in Italy and 14 in the rest of the world) and exports to more than 100 countries.",https://italchamber.org.sg/membership-directory/corporate/247535#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/92f29e0b-33ee-4701-963e-d618d6bdf5c0.png
Belluzzo & Partners Pte Ltd,LEGAL AND ACCOUNTING FIRMS,"Belluzzo International Partners (“BIP”) is a boutique consultancy firm and has been on the international scene since the opening of the London office in 2007.It presently represents the largest professional Italian firm in England, where it employs more than 30 staff. BIP employs 21 partners and more than 90 professionals across the offices in Milan, London, Verona, Singapore, Lugano, Rome, Abu Dhabi. Belluzzo is the point of reference for entrepreneurial families looking for cross-border consultancy on corporate affairs and wealth planning.Thanks to the partnership with Algebra in Singapore, we can offer a unique range of services in South-East Asia and Europe, supported by a worldwide network of correspondents. These include tax and legal services, professional accounting relating to extraordinary operations, activities linked to company structuring, merges and acquisitions, property and optimization of client’s investment and projects.",https://italchamber.org.sg/membership-directory/corporate/247536#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/8c93963b-7840-4ece-b233-c4144a9a201b.png
Bi-Qem Pte Ltd,CHEMICALS,"Founded in Northern Italy back in 1955, BI-QEM (formerly known as Chemiplastica) has grown into a global leader in sustainable, high-performance chemical solutions. With seven state-of-the-art production plants across multiple continents and a trusted network serving customers in over 70 countries, BI-QEM delivers premium quality products backed by decades of expertise and innovation.As a diversified, vertically integrated powerhouse, BI-QEM operates through various strategic business units:•	Moulding Compounds: World-renowned leader for the production of compounds, synthetic ceramics products called ALQEMITE®. These deliver exceptional hardness, glossy finishes, scratch and chemical resistance, and superior electrical properties—ideal for numerous applications.•	Specialty Chemicals: Advanced performance enhancing chemical additives tailored for demanding applications across industries, providing innovative, high-value solutions that meet the toughest performance requirements.•	Resins: A comprehensive range including phenolic (resols and novolacs), amino resins. These versatile binders excel in many industries where elevated temperature, friction, and mechanical stress are present.•	Sanitary Accessories: High-quality, durable components crafted for longevity, hygiene, and aesthetic appeal, leveraging our moulding expertise for superior end products.At the forefront of our innovative portfolio is the ALQEMITE® family of products—naturally green, environmentally friendly moulding compounds. Made from fertilizers reinforced with cellulose, these halogen-free, solvent-free solutions offer:•	Reduced carbon footprint emissions•	Scratch-resistant, lustrous surfaces highly resistant to detergents, oils, and greases•	Unlimited color options and excellent cosmetic appeal•	Superior durability and reusability compared to disposables or petrochemical plastics•	Food-contact approval for premium dinnerware and commercial food service items•	Eco-conscious design that supports sustainability without compromising performanceSustainability is at the core of everything we do—not a trend, but a fundamental necessity. BI-QEM is committed to environmental awareness, reducing impact through green chemistry, and driving a circular economy by enabling durable, recyclable alternatives to single-use plastics.Fueled by continuous investment in Research & Development and our talented human resources, BI-QEM is expanding markets, diversifying applications, and pushing the boundaries of innovation. We invite partners worldwide to discover how our premium, sustainable solutions—from ALQEMITE® innovations to specialized resins and compounds—can elevate your products and help build a greener future.",https://italchamber.org.sg/membership-directory/corporate/247537#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/e99662cb-48e9-4134-acf1-d805283ef10d.png
Bios Management APAC Pte. Ltd.,BUSINESS SERVICES,"Bios Management is a boutique consultancy with over 280 employees, more than 1,800 projects delivered, and a network of over 600 customers. We specialize in analytics, digital solutions, and advisory services, supporting businesses in optimizing operations, aligning strategy, and ensuring ESG compliance.With a deep understanding of industry dynamics, our team of trusted advisors leverages AI, advanced analytics, and digital technologies to deliver practical, data-driven solutions that improve business performance, enhance operational efficiency, and drive scalability.At Bios Management, we’re passionate about empowering businesses with tailored strategies that foster growth and long-term success.",https://italchamber.org.sg/membership-directory/corporate/2427206#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/509618d0-a27b-4ffb-a86f-1582fde49289.png
BNP Paribas,FINANCE,"BNP Paribas is a leading bank in Europe with a presence in 64 markets and more than 178,000 employees. In Asia Pacific, BNP Paribas is one of the best-positioned international financial institutions with an uninterrupted presence since 1860. Currently with over 19,600 employees* and a presence in 13 markets, BNP Paribas provides corporates, institutional and private investors with product and service solutions tailored to their specific needs. It offers a wide range of financial services covering corporate & institutional banking, wealth management, asset management, insurance, as well as retail banking and consumer financing through strategic partnerships. In Southeast Asia, BNP Paribas has core banking licenses in all markets in which it operates – Indonesia, Malaysia, Singapore, Thailand and Vietnam. Singapore is the Bank’s hub for Southeast Asia, where it has been present since 1968.",https://italchamber.org.sg/membership-directory/corporate/222304#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/fd286c61-4215-43bf-961c-5c50e13e40b5.png
Boncafé International Pte Ltd,FOOD AND BEVERAGE,"Boncafé Group of Companies is a member of Italy based Massimo Zanetti Beverage Group – the world’s largest Italian Coffee company with a heritage of over 40 years with 55 subsidiaries in 36 countries encompassing a number of well-known international brands that includes Puccino's, Kauai Coffee, Chock Full of Nuts and their most globally recognized Italian Coffee brand – Segafredo Zanetti.Founded in 1962 in Singapore, Boncafé is a leading gourmet coffee manufacturer and supplier in South East Asia / East Asia and the Middle East. As the pioneer European-style gourmet coffee roaster in Southeast Asia, and guided by the Swiss tradition of precision and pursuit of perfection, Boncafé prides itself on its quality products and services to its valued, blue-chip customers in foodservice – international hotels and resorts, airlines, restaurants, clubs and retail outlets by being a one-stop beverage solution provider, supplying roasted and ground coffee, tea, juices, ready-to-drink products, sauces and syrups, coffee machines, smoothies and frappé mixes.Boncafé is proud to be the official importer and marketer of Segafredo Zanetti Coffee. Dedicated to constant research and advanced roasting facilities, Segafredo Zanetti reconciles tradition and innovation to produce the best coffee beans possible. The brand’s mission is to spread the taste and Italian “espresso” culture to the whole world.",https://italchamber.org.sg/membership-directory/corporate/222326#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/6cc6c450-a48e-44ec-8a3c-1bed6d6ed44d.png
Bonfiglioli Engineering,MECHANICAL AND INDUSTRIAL/ENGINEERING,"A member of TASI Group - the largest group in the world uniquely focused on leak testing, measurement, and inspection - Bonfiglioli Engineering is the worldwide leader in Quality Inspection Solutions for all packaging requirements in Pharmaceuticals, Metal Can & Aerosols, Food & Beverages and Chemicals & Personal Care markets. Established in 1974, in Ferrara, Italy, Bonfiglioli Engineering has continuously invested, innovated, and evolved, making new breakthroughs in leak testing while offering a vast product portfolio for all packaging requirements. Today, after over 40 years, by combining development, manufacturing, sales and after-sale service operations, Bonfiglioli Engineering provides its customers dedicated solutions based on quality, innovation, expertise, flexibility, and global customer service support. With over 5000 installations around the world, Bonfiglioli Engineering serves a truly global customer base, making a dramatic impact on the efficiency and the safety of the packaging industry worldwide. Bonfiglioli Engineering offers a wide production range of laboratories as well as in-line machines with the aim of verifying, based on four complementary technologies: Container Closure Integrity Testing, Visual Inspection, Leak Testing and Headspace Gas Analysis: Presence of leaks, Headspace gas content, Existence of visible foreign materials. Testing is quick, reliable, and repeatable and gives consistent results for a comprehensive batch control, always without altering the container features.",https://italchamber.org.sg/membership-directory/corporate/429530#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/3dc81704-dff2-4eca-9b36-9b5eebf5bc73.png
Bonfiglioli South East Asia Pte Ltd,MECHANICAL AND INDUSTRIAL/ENGINEERING,"Bonfiglioli is a worldwide designer, manufacturer and distributor of a complete range of gearmotors, drive systems, planetary gearboxes and inverters, which satisfy the most challenging and demanding needs in industrial automation, mobile machinery and renewable energy. The Group serves more industries and applications than any other drives manufacturer and is a market leader in many sectors; its two business units - Industry & Automation Solutions and Mobility & Wind Industries - embody all the expertise and experience acquired over the years in the respective industries. Established in 1956, Bonfiglioli operates worldwide in 80 countries with 23 commercial sites, 17 production sites, a wide distribution network comprising more than 550 partners, and can count on over 5000 professionals. Excellence, innovation, and sustainability are the drivers behind the growth of Bonfiglioli as a company and team and represent the guarantee of the products and services quality offered its clients.More information available at www.bonfiglioli.com",https://italchamber.org.sg/membership-directory/corporate/1427045#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/fada9280-13e4-444b-bff4-ebec0e5540bc.png
Bottega Veneta Singapore Pte Ltd,LUXURY RETAIL,"Bottega Veneta has been inspiring individuality with innovative craftsmanship since 1966. Creativity lies at the heart of all that Bottega Veneta does. Born in Vicenza, the House is rooted in Italian culture yet maintains a truly global outlook. An inclusive brand with exclusive products, Bottega Veneta is as much of a feeling as it is an aesthetic.",https://italchamber.org.sg/membership-directory/corporate/2677154#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/267299f1-88be-42b0-a39a-a1ab67899db0.png
Business Engineers Asia Pte Ltd,BUSINESS SERVICES,"Business Engineers Asia (BEA) began operations in 2013 in Singapore. BEA is a South East Asian market entry specialist with a unique proposition, not only can we consult on your best entry strategy but we offer full back end logistics, warehouse & inventory support, including last mile delivery support. The key to our Direct 2 Market (D2M) Program in Singapore is that we ‘de-risk’ your entry with key advice & support, keep your cost low & transparent, give you full control on key decision making processes, guarantee listing on at least one major e-commerce platform and let you keep your full profits while only paying a fixed monthly service fee. BEA also is gearing up to make its Singapore HQ to develop trade hubs in several countries including Malaysia, Thailand, India & Poland just to name a few. Once launched our clients will get instant market access to whichever country we will be present in.We have additional value added services from depth market research, business development support, digital marketing services, local distributorship & sales channels expansion, both online & offline in not just B2C but in B2B, B2G as well. Being the longest serving 3PL partner for RedMart – Singapore’s biggest e-grocery channel, we guarantee the smoothest & most cost efficient market entry into Singapore & expansion into the region.",https://italchamber.org.sg/membership-directory/corporate/820506#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/c55a4976-b13f-46f0-8a71-2007534b9109.png
Cambiaso Risso Asia Pte Ltd,FINANCE,"Cambiaso Risso Asia Pte Ltd, a Singapore-registered Insurance and Reinsurance Broker, highly specializes in Marine Insurance covers such as Hull & Machinery, Protection & Indemnity, Marine Liabilities, Cargo, Shipyards, and Yachts. Our expertise extends to Special Risks like D&O and Cyber Risks Insurance, benefiting from synergies and support from the group.As a member of the Cambiaso Risso Group, a longstanding ""family-run"" business established in 1946, we contribute to a legacy of comprehensive Maritime Services. With our headquarters located in Genoa and additional branches strategically positioned in Italy, Monaco, Marseille, Bergen, Hamburg, London, Athens, Istanbul, Singapore, Jakarta, Hong Kong and Shanghai, we have cultivated a global footprint in Insurance Broking, Shipping/Port Agency, and Shipbroking. This extensive network underscores our commitment to providing excellence in maritime solutions.",https://italchamber.org.sg/membership-directory/corporate/247538#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/3e9ca811-7061-4426-bcf1-a42ce49cb9e9.png
Camera Di Commercio Industria Artigianato e Agricoltura di Bergamo,FINANCE,"Bergamo Chamber of commerce is an independent public institution. It represents and looks after the general interests of the province’s companies and promotes their development. The services provided by the Chamber are of different types: administrative services (e.g. entrepreneurs must apply for when intending to start or modify the form of any businesses); support services: services carried out to help foster the growth local business (for example: traning for companies for the growth of import/export, organization of business meetings).",https://italchamber.org.sg/membership-directory/corporate/247539#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/92ea7230-cf94-423a-b31d-d2603957015e.png
Campari Singapore Pte Ltd,FOOD AND BEVERAGE,"Campari Group is a major player in the global spirits industry, with a portfolio of over 50 premium and super premium brands, spanning across aperitifs, including iconic brand like Aperol and Campari, agave spirits such as Espolon tequila, whiskeys and rum with Wild Turkey and Appleton Estate, as well as cognac and champagne including Courvoisier and Gran Marnier.Found in 1860, Campari Group is one of the fastest growing global spirits companies and the undisputed leader in the aperitif category.It has a global distribution reach, trading in over 190 nations around the world with leading positions in Europe and the Americas. Campari Group employs approximately 4,800 people.The shares of the parent company Davide Campari-Milano N.V. have been listed in the Italian Stock Exchange since 2001.",https://italchamber.org.sg/membership-directory/corporate/247586#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/35ff6e03-5050-4955-be40-908f96711573.png
Cannon Far East Pte Ltd,MECHANICAL AND INDUSTRIAL/ENGINEERING,"Cannon Far East in Singapore is a supplier of Polyurethane/Thermoforming technology, boiler, water treatment system, composite machines, aluminium die-casting machines, moulds. Our activities include sales, technical services and spare parts support of Polyurethane foaming machines and plants for insulation, transportation/automotive, laboratory and other applications, Epoxy Resin infusion system for wind blade.",https://italchamber.org.sg/membership-directory/corporate/247540#page-member-ajax,https://italchambersg.glueup.com/resources/public/images/logo/400x200/c3752691-e076-45fc-95fc-f9bbab7786c4.png
